referring_pcp_npi,receiving_hospital_npi,transaction_count
1821080961,1649659582,520
1255316519,1518346469,253
1316351844,1508247016,586
1316351844,1912388422,69
1316351844,1710368220,103
1316351844,1518346469,552
1396799979,1518346469,200
1023019429,1518346469,602
1023019429,1508247016,129
1568488708,1508247016,64
1568488708,1518346469,597
1982661617,1518346469,132
1780819375,1518346469,270
1205822962,1518346469,227
1457346132,1518346469,440
1518974732,1518346469,60
1427180868,1518346469,235
1033278429,1518346469,59
1932172624,1518346469,360
1629064738,1518346469,472
1144221391,1508247016,132
1144221391,1518346469,605
1861405409,1518346469,59
1811158942,1518346469,273
1780623579,1508247016,51
1780623579,1518346469,531
1952397606,1518346469,402
1952397606,1508247016,61
1417040205,1508247016,87
1417040205,1518346469,91
1922045137,1518346469,487
1922045137,1508247016,81
1952454332,1518346469,254
1003813874,1710368220,234
1003813874,1508247016,835
1003813874,1518346469,815
1003813874,1912388422,173
1528055381,1508247016,50
1528055381,1518346469,283
1306891262,1508247016,50
1306891262,1518346469,225
1770521502,1518346469,281
1770521502,1508247016,71
1184611493,1518346469,553
1184611493,1508247016,56
1922278126,1508247016,236
1922278126,1518346469,925
1982672507,1518346469,79
1447284864,1508247016,85
1447284864,1518346469,249
1033187810,1518346469,50
1528005667,1518346469,145
1497794291,1518346469,70
1871685743,1518346469,126
1336147776,1912388422,103
1336147776,1518346469,677
1336147776,1508247016,688
1336147776,1710368220,106
1285627398,1518346469,809
1285627398,1508247016,222
1285627398,1710368220,50
1669799532,1518346469,73
1154341543,1508247016,82
1154341543,1518346469,649
1710920467,1508247016,53
1710920467,1518346469,356
1295709897,1508247016,83
1295709897,1518346469,359
1659342384,1508247016,74
1659342384,1518346469,301
1609848738,1518346469,142
1821080961,1518346469,57
1598973273,1508247016,69
1598973273,1518346469,605
1962664680,1164590386,173
1013958776,1164590386,628
1003075862,1164590386,250
1457310286,1164590386,946
1346504529,1164590386,81
1720371594,1164590386,309
1235172800,1164590386,458
1215377932,1164590386,230
1154392918,1164590386,196
1790758514,1164590386,177
1588928980,1164590386,1015
1396737177,1164590386,142
1205830015,1164590386,225
1306053939,1164590386,96
1659588929,1164590386,230
1023019429,1164590386,111
1437138641,1164590386,53
1205978152,1164590386,261
1568488708,1164590386,79
1780654285,1164590386,65
1558448423,1164590386,85
1720195878,1164590386,62
1881642791,1164590386,141
1982661617,1164590386,1215
1356315063,1164590386,122
1780819375,1164590386,344
1649274515,1164590386,77
1740275221,1164590386,88
1902075500,1164590386,445
1952386393,1164590386,530
1770639619,1164590386,147
1528061223,1164590386,57
1023076882,1164590386,116
1649293390,1164590386,635
